zinc_id,smiles
ZINC000000000007,C=CCc1ccc(OCC(=O)N(CC)CC)c(OC)c1
ZINC000000000010,C[C@@]1(c2ccccc2)OC(C(=O)O)=CC1=O
ZINC000000000012,O=C(C[S@@](=O)C(c1ccccc1)c1ccccc1)NO
ZINC000000000016,CC1(C)O[C@H]2C[C@@H]3[C@@H]4C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@]4(F)[C@H](O)C[C@]3(C)[C@@]2(C(=O)CO)O1
ZINC000000000018,C=CCN1C(=O)[C@@H](CC(C)C)NC1=S
ZINC000000000021,C=CC[C@H]1CN(C)CC[C@@]1(OC(=O)CC)c1ccccc1
ZINC000000000022,C=C(C)CNc1ccc([C@H](C)C(=O)O)cc1
ZINC000000000023,C=CCc1ccccc1OC[C@H](O)CNC(C)C
ZINC000000000025,CC1(C)O[C@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@]4(F)[C@H](O)C[C@@]3(C)[C@]2(C(=O)CO)O1
ZINC000000000026,CC1(C)O[C@H]2C[C@@H]3[C@@H]4C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@]4(F)[C@H](O)C[C@@]3(C)[C@]2(C(=O)CO)O1
ZINC000000000045,Cc1ccc(SC[C@H](S)CS)cc1
ZINC000000000048,C=CCc1cc(OC)c2c(c1OC)OCO2
ZINC000000000088,C=CCC1=C(C)[C@@H](OC(=O)[C@H]2[C@@H](C=C(C)C)C2(C)C)CC1=O
ZINC000000000093,COc1ccc(C(=O)/C(Br)=C/C(=O)O)cc1
ZINC000000000104,CC(C)(C)NC[C@@H](O)COc1ccccc1C#N
ZINC000000000125,C#C[C@H](OC(N)=O)c1ccccc1
ZINC000000000149,COC[C@@H]1CN(c2ccc(OCc3cccc(C#N)c3)cc2)C(=O)O1
ZINC000000000156,CN1CCC2=C(CC1)c1cc(C#N)ccc1Sc1ccccc12
ZINC000000000158,C=CCc1cccc(OC)c1OCCN(CC)CC
ZINC000000000181,COC1=C[C@H]2[C@@H]3Cc4ccc(OC)c(O)c4[C@]2(CCN3C)CC1=O
ZINC000000000188,C[C@H](CN(C)C)CN1c2ccccc2Sc2ccc(C#N)cc21
ZINC000000000208,CC(=O)[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@H](O)C[C@@]21C
ZINC000000000229,CC1=C2CC[C@H]3[C@@H]([C@H](O)C[C@]4(C)[C@@H]3CC[C@@]4(C)O)[C@]2(C)CCC1=O
ZINC000000000255,CC(C)(C)NC[C@@H](O)COc1cc(Cl)ccc1C1=CC(=O)CC1
ZINC000000000259,C#C[C@]1(O)CC[C@@H]2N3CCc4cc(OC)ccc4[C@@H]3CC[C@]21C
ZINC000000000267,C#C[C@@](O)(/C=C/Cl)CC
ZINC000000000277,CC/N=C1\Nc2ccc(Cl)cc2[C@](C)(c2ccccc2)O1
ZINC000000000284,CC[C@@H](C)[C@](C#N)(CCN1CCCCC1)c1ccccc1
ZINC000000000308,COc1ccc(/C(C)=N/OC(N)=O)cc1OC1CCCC1
ZINC000000000321,C[C@]12C[C@@H](O)[C@]3(F)[C@H](CCC4=CC(=O)CC[C@]43C)[C@@H]1CC[C@@]2(C)O
ZINC000000000334,C[C@@H]1CN(/N=C/c2ccc([N+](=O)[O-])o2)C(=O)O1
ZINC000000000339,CC(=O)[C@]1(O)CC[C@H]2[C@@H]3C=CC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21C
ZINC000000000345,C=C(C)C(=O)OC[C@@H]1CO1
